,Biglari Holdings -- Sardar Biglari,Chase -- Edwin Taylor,Citigroup Global Markets -- Barry Guariglia,Bucknell University -- Kelly Stefanowicz,Turner -- Robert Scott,Northwestern Mutual Life -- Thomas Gallina,John Hancock -- John Paul,Villanova University -- Michael Mack,Yorkville Advisors -- Craig Engler,Cornerstone Financial -- Thomas Thorndike,Charles -- Katherine Kennedy,Citigroup Global Markets -- Katherine Rhodes,Morgan Stanley -- James Scott,Bank Of America -- Reed Smith,Liberty Corner Capital Strategies -- William Pigott,Morgan Stanley -- Arthur Andersen,Glen Rauch Securities -- Glen Rauch,Bank Of America -- Raymond Thomas,Stein Roe Investment Counsel -- Eric Propper,Morgan Stanley -- Joseph David,Wells Fargo -- William Blair,Morgan Stanley -- Daniel Lima,Wesolowski -- Paul Wesolowski,Wells Fargo -- William Blair,Morgan Stanley -- Arthur Andersen,Wachovia Bank -- Tu Nguyen,Citigroup Global Markets -- Joseph Friedman,Bulldog Investors -- Phillip Goldstein,Citigroup Global Markets -- Marsha Johnson,Wells Fargo Securities -- Richard Silva,Bank Of America -- Thomas Caskey,Glen Rauch Securities -- Glen Rauch,Morgan Stanley -- Julia Smith,Morgan Stanley Smith Barney -- John Verble,Morgan Stanley -- Julia Smith,Delta Equity Services Corporation -- Raymond Grenier,Parker -- Tim Shaw,Carson -- Ronald Carson,First Tennessee Bank -- Chris Kimler,Morgan Stanley -- Julia Smith,Fidelity -- Thomas Dusing,Oppenheimer -- Karen Nelson,United States Marine Corps -- Eric Schmitt,Capital Bank -- John Patrick,Citigroup Global Markets -- Elise Shartsis,Stephens -- John Stephens,Wachovia Securities -- Alpesh Patel,Levin Capital Strategies -- John Levin,Merrill Lynch -- David Singer,Morgan Stanley -- Lisa Hammond,Fedex -- Michael Margolis,Citigroup Global Markets -- Denis Roy,Bentley Forbes -- Christian Wehba,Wealth Management Solutions -- Dana Anspach,Kpmg -- Sean Connelly,Merrill Lynch -- Michael Duncan,Searle -- Robert Searle,Bank Of America -- William Bond,Gmac Mortgage -- John Curtis,Internal Revenue Service -- Charles Foster,Gemini Land Trust -- Joshua Crapps,Wells Fargo Bank -- Jennifer Lee,Lehman Brothers -- Debbie Hines,Chase -- Julian Diaz,Wells Fargo Bank -- Jin Park,Comcast -- Adam Spencer,Chabot College -- Isaac Richard,Jpmorgan Chase Bank -- Andrew Russell,First Allied Securities -- Adam Antoniades,Chabot College -- Isaac Richard,Ubs Financial Services -- Stanford Baer,Rockwater Municipal Advisors -- Charles Fish,Causeway Capital Management -- Mark Cone,Maccorkle Insurance -- Bernard Lauper,Juarez -- Anthony Juarez,Crown Capital Securities -- James Franceus,Jp Morgan Chase Bank -- Raul Munoz,State Farm -- Jennifer Key,Rockwater Municipal Advisors -- Charles Fish,Catanzarite Law Corporation -- Kenneth Catanzarite,Catanzarite Law Corporation -- Kenneth Catanzarite,Morgan Stanley -- Emma Bridges,Target -- Michael Simon,Mertens -- Kevin Mertens,Edward Jones -- Helen Rice,Edward Jones -- Robert Bird,Metropolitan Life Insurance Company -- Gil Cohen,Valic Financial Advisors -- Brett Laferrera,Morgan Stanley -- Arthur Andersen,Strickland -- Michael Strickland,Merrill Lynch -- Daniel Gomez,Rice -- Clifford Rice,Stanford Group Company -- Charles Rawl,Merrill Lynch -- Daniel Gomez,Merrill Lynch -- Daniel Gomez,Pruco Securities -- Richard Wang,Merrill Lynch -- Daniel Gomez,Bank Of America -- Jorge Gonzalez,Wells Fargo -- David Olson,Merrill Lynch -- Daniel Gomez,Raymond James Financial Services -- John Wanken,Bulldog Investors -- Phillip Goldstein,Gormley -- Joseph Gormley,Dickerson -- Jose Ortiz,Northwestern Mutual -- Timothy Miller,Bank Of America -- Molly Kerr,Perkins -- Kenneth Perkins,Wells Fargo Bank -- Dan Nguyen,Wells Fargo -- Spencer Reed,Fisher Investments -- Michael Weston,Morgan Stanley -- Arthur Andersen,Target -- Michael Simon,Apple -- William Morrow,Miller -- Jeffrey Schouten,Apollo Group -- Derek Hoggett,Scottrade -- Kristine Davenport,Bank Of America -- Peter Simmonds,Bank Of America -- Reed Smith,Morgan Stanley Smith Barney -- Marcia Bloemendaal,Morgan Stanley -- Arthur Andersen
Biglari Holdings -- Sardar Biglari,1.0,0.225503786946,0.327751031746,0.293048927145,0.368699320162,0.445630009806,0.431940589384,0.466314187995,0.707311805631,0.438071283304,0.702437235078,0.541561123031,0.256629474339,0.668590389152,0.797086052372,0.593444184423,0.510890919879,0.575135079604,0.614631832206,0.784879997298,0.690719539418,0.565253753365,0.573809503633,0.834405219683,0.611191850276,0.590187822788,0.780433684806,0.717468895436,0.750035867683,0.686059435691,0.688409696077,0.530992863005,0.721628543923,0.525688630319,0.640417996684,0.445210650264,0.704426508973,0.381236395512,0.59104042172,0.755614370188,0.390399852185,0.345595948729,0.648520276156,0.351908504299,0.307881348899,0.843884464855,0.570135752168,0.451507845085,0.528992811051,0.515762985751,0.528307925337,0.80419319336,0.604206068766,0.626778308036,0.478484344057,0.853478669542,0.634244316643,0.633938155696,0.630141967212,0.536953816546,0.684968658538,0.498053063834,0.374893895893,0.716261033314,0.16921257514,0.153154608832,0.444147771997,0.552340994392,0.764680408976,0.434283602815,0.237844685996,0.407123622772,0.801530259876,0.523700984389,0.196012382733,0.587803658323,0.596451942202,0.701171230142,0.410483183105,0.578218454611,0.50497440713,0.224444114885,0.55924221939,0.412194024417,0.552108159066,0.532588428502,0.501558803717,0.546808590645,0.817393190076,0.34769721465,0.530821215905,0.440335889709,0.260177980792,0.53122262875,0.530821215905,0.556932738623,0.527372811851,0.561127575542,0.658774210889,0.53122262875,0.393516457564,0.564648137091,0.382896489475,0.356751716205,0.613587640726,0.318935253107,0.373362050173,0.365794220423,0.561992502166,0.214667827551,0.654996692658,0.677471532299,0.513891668654,0.746279142863,0.516878400338,0.528242619674,0.51442049483,0.516839422023,0.591256600588,0.667046416667
Chase -- Edwin Taylor,0.225503786946,1.0,0.391388204861,0.612426370802,0.845141016991,0.668581537607,0.443151089189,0.578656565089,0.357219918656,0.535380448483,0.402995533754,0.357476419345,0.384491953712,0.447837296473,0.32995258148,0.447674125833,0.359517342621,0.417195108704,0.397710220867,0.237272357204,0.385124055354,0.289079880109,0.579686684268,0.343237166134,0.30374535102,0.453065260281,0.333934452796,0.375886353253,0.172799032635,0.689206453149,0.488857420709,0.401919653362,0.355214549086,0.411878448482,0.434351262401,0.571300511065,0.405707106931,0.602096321181,0.566062025821,0.333857765647,0.490172837124,0.262130880063,0.387705037493,0.249891230927,0.293066200939,0.189893735183,0.287144395619,0.157629938932,0.212853743641,0.269603277008,0.360739261224,0.269745551529,0.674069109972,0.691835574847,0.214876307326,0.295478880793,0.529585916455,0.443629661735,0.349468010341,0.800130675246,0.684436513337,0.528854331221,0.461541811594,0.322293701193,0.330519140973,0.654361208896,0.503942554176,0.451755596259,0.306326310738,0.503514729445,0.146826422298,0.441742573122,0.32398227831,0.585141318421,0.701641651747,0.512892414434,0.48406514064,0.160547177606,0.443478541316,0.580284734559,0.656261384759,0.261965922398,0.494571138636,0.788766392194,0.678218203628,0.747893907567,0.501926742145,0.206162603403,0.358960378419,0.781616079981,0.198342849094,0.433441438614,0.186806165534,0.19841793279,0.198342849094,0.439393453999,0.200439266753,0.384753704668,0.474537816809,0.19841793279,0.479750153131,0.427652531271,0.571532518326,0.687788404341,0.575023826401,0.225471408697,0.522553070787,0.717190982425,0.389339597925,0.220380332298,0.61743871278,0.411741050143,0.459635481816,0.465030821753,0.464277256507,0.436516416859,0.188624341756,0.605253406425,0.524808203839,0.234911171154
Citigroup Global Markets -- Barry Guariglia,0.327751031746,0.391388204861,1.0,0.376583806629,0.481220503019,0.600556210512,0.605635335582,0.758434404641,0.756681892899,0.641269479855,0.635020962155,0.648861345019,0.439561275519,0.673823221077,0.505213099624,0.732032662211,0.273643192861,0.672299459259,0.445184939797,0.698278465635,0.460416848621,0.439541757613,0.682715232815,0.60254078742,0.590968884199,0.73132489274,0.682205856462,0.567593431675,0.228686911084,0.640197943418,0.722138374485,0.255879954619,0.621139882008,0.720801475943,0.550776480598,0.660257961855,0.452940258357,0.676612022062,0.661667084473,0.584719622228,0.671811771798,0.414172681206,0.43994826595,0.518596231734,0.613438223391,0.453785735609,0.347277376664,0.0884530663415,0.155540827764,0.145081770931,0.786636423419,0.401093762633,0.644562565036,0.6747435672,0.386234397523,0.583817249807,0.699131298197,0.761527511004,0.595982198601,0.487727305637,0.602511592899,0.744159455647,0.262667447541,0.521254688748,0.156778793217,0.135669996844,0.433181743817,0.337101536564,0.261575440038,0.415898470399,0.345180154227,0.214487528343,0.376409485681,0.462430258037,0.179228604819,0.550161530236,0.422360700872,0.226187271255,0.21910113319,0.434735031598,0.559640073179,0.72855576068,0.518334660013,0.445146162385,0.63185918793,0.525339062152,0.78878907742,0.864847934539,0.599625324338,0.572074634666,0.413756855176,0.646534437507,0.773710338669,0.413848370307,0.413756855176,0.845160977778,0.438353587419,0.83698707254,0.806147624978,0.413848370307,0.871965755812,0.687110561063,0.197005298572,0.634492233515,0.683669420214,0.884699094121,0.680294476465,0.540906778034,0.632658132913,0.887752695496,0.55529102871,0.590184943443,0.742560284569,0.616490632158,0.818748293781,0.758676626168,0.276214566285,0.608521873475,0.77078544276,0.582348114369
Bucknell University -- Kelly Stefanowicz,0.293048927145,0.612426370802,0.376583806629,1.0,0.644342461742,0.823353269303,0.52399817739,0.577408519592,0.482807109934,0.625529519906,0.349440434739,0.318703573493,0.116250853455,0.269660380784,0.294252228393,0.6539301222,0.325959645816,0.428319425938,0.338132050895,0.408933243474,0.498905399711,0.425354099144,0.598700861394,0.364697502393,0.370836451232,0.455985575628,0.395467434504,0.476911615706,0.26796128644,0.717585907061,0.508156310492,0.39302096428,0.498448879648,0.588715339531,0.538683047004,0.482667534516,0.692848615763,0.686552378429,0.664880547365,0.458556593605,0.753110806551,0.38354926859,0.389475055605,0.224531995218,0.532519039828,0.258224602223,0.256761335358,0.0709159064305,0.14895549945,0.163149180668,0.485346845036,0.499627751339,0.628533161489,0.770202564332,0.0603315884392,0.468985851472,0.646116054228,0.52824164617,0.447165064551,0.620334427647,0.522276310837,0.552051489686,0.424050335223,0.314245232466,0.238856447516,0.30350395232,0.287327711411,0.30095195064,0.298188065127,0.276583422669,0.246790709913,0.242006434879,0.311358829523,0.430054908036,0.350752989398,0.463572752886,0.471224207953,0.267427480121,0.245208131609,0.566175238014,0.406533932219,0.246189024063,0.334344401488,0.587864030259,0.486034297413,0.49288177286,0.68619065509,0.278185575247,0.572017572277,0.673571309418,0.23319269614,0.525027729125,0.152635575612,0.233446712622,0.23319269614,0.561120855019,0.229544535064,0.568898765937,0.467721108535,0.233446712622,0.499180685195,0.588537472843,0.294826243812,0.740517577098,0.626515771944,0.298921600617,0.600894938964,0.69550269151,0.608808768718,0.249605497578,0.517108686486,0.37842363963,0.580242950456,0.612286690665,0.551122380773,0.614859005828,0.194453661011,0.759942923826,0.471969707836,0.261846693621
Turner -- Robert Scott,0.368699320162,0.845141016991,0.481220503019,0.644342461742,1.0,0.699992843794,0.539518210327,0.830256752062,0.450915419732,0.793930800675,0.615551941851,0.476569182795,0.276017330858,0.637536539003,0.530818652997,0.681579810948,0.442128780618,0.577141591006,0.56046583935,0.448752030294,0.619277478656,0.45018307752,0.742575408868,0.471620095937,0.427585888817,0.581236679716,0.466597935514,0.512742568177,0.29943128289,0.819942744477,0.633473875713,0.466790699507,0.510671165904,0.654048034899,0.651342310254,0.80163880628,0.5632407035,0.816133614751,0.661013083678,0.458405343951,0.521063329279,0.531575771071,0.591082904807,0.520289709461,0.540382923189,0.366195810699,0.405611325095,0.195453333299,0.294961789529,0.351679597013,0.47264651609,0.453868171849,0.721980037026,0.848217743204,0.34264011725,0.479383159044,0.736104256051,0.536812120729,0.562303415383,0.917876916283,0.704850824371,0.576443657087,0.432761860066,0.319756671637,0.257010386405,0.465270184619,0.37053564262,0.342506444703,0.2884971996,0.364672753474,0.143490504615,0.276935849598,0.371879310698,0.45960106822,0.52547571436,0.414996840272,0.418113801838,0.184702394513,0.279071141103,0.481061297696,0.574665414338,0.207815940504,0.779855712395,0.835388718839,0.613551686356,0.635452348129,0.665610113148,0.338928652617,0.549191767492,0.947040834662,0.318722589384,0.533666973257,0.27903465515,0.318782987119,0.318722589384,0.56410789277,0.325668480658,0.606325296479,0.672214283449,0.318782987119,0.576147211338,0.634703027443,0.689977290351,0.874894092573,0.680892417198,0.299496600647,0.73326148926,0.892945973908,0.541925507416,0.26261936253,0.696493202227,0.633646681764,0.680514302287,0.642468593144,0.605830769832,0.556264642971,0.236355061909,0.643807073957,0.573003652032,0.314665890573
Northwestern Mutual Life -- Thomas Gallina,0.445630009806,0.668581537607,0.600556210512,0.823353269303,0.699992843794,1.0,0.83812648447,0.718283640778,0.729364202045,0.695654095368,0.590396773867,0.499805293443,0.325755386708,0.498805347568,0.554346351514,0.787771711546,0.45002692973,0.705725764253,0.593959019325,0.575479328788,0.515494656834,0.368439655769,0.749758144242,0.567333953203,0.465854441662,0.722999583641,0.588610422775,0.651949632722,0.396490835223,0.772541749742,0.746187883902,0.491151150523,0.526413088455,0.719262403627,0.677930366891,0.556113209088,0.624225380365,0.732688450959,0.825504711418,0.565125459403,0.865146518545,0.359803894771,0.449676104733,0.322050503642,0.494475498117,0.362715395758,0.52994593075,0.259280669205,0.25531741691,0.439692996038,0.64151480653,0.523342158699,0.866498895566,0.884604672026,0.382327110856,0.567968219153,0.684850129288,0.716043330235,0.480804133694,0.740236062348,0.736690775071,0.886887765645,0.525605155452,0.457614796948,0.2441178591,0.270318647322,0.463930797967,0.483433105887,0.293422621569,0.454259258077,0.234144865897,0.304372614046,0.479686138722,0.574846884888,0.332337470644,0.706917528665,0.60865540058,0.290792488197,0.307999170393,0.590681919927,0.622017432719,0.375847730828,0.437032835901,0.677875273111,0.713198344092,0.70188733405,0.830234631757,0.436781902643,0.612267792635,0.722211194841,0.280928528034,0.764256416898,0.300706048481,0.281269645465,0.280928528034,0.785229687565,0.287815720446,0.701548688616,0.696304990136,0.281269645465,0.636086595312,0.680914622582,0.332815582935,0.753650766044,0.924964762776,0.452668951567,0.670508800893,0.690704165187,0.783533055846,0.425459449827,0.655595616583,0.511268244934,0.751070976481,0.720453331874,0.714431862899,0.764644908765,0.238077727265,0.858693354979,0.657918181642,0.423811222552
John Hancock -- John Paul,0.431940589384,0.443151089189,0.605635335582,0.52399817739,0.539518210327,0.83812648447,1.0,0.680317826906,0.7352242378,0.617262596999,0.48602797251,0.395286850467,0.312757270809,0.449157150183,0.542441425048,0.715051118655,0.158116004278,0.774717642668,0.457411572094,0.577368969927,0.482179059615,0.426370563173,0.601359568277,0.545208185339,0.518544211031,0.684090717897,0.604675209287,0.659820235463,0.517416485375,0.586655331251,0.686566640659,0.172810085911,0.46826205908,0.702681867177,0.65736779784,0.47458693476,0.497198553807,0.66365349069,0.77837932237,0.546154962198,0.778754683282,0.326989276276,0.392933645968,0.295576217456,0.477682464754,0.327589966194,0.52666157572,0.368678545939,0.267928610013,0.459081716356,0.704136926129,0.500296917014,0.774311977019,0.746589672146,0.696294197123,0.569168087156,0.553036325237,0.664721130377,0.455123050911,0.580645036698,0.634387795585,0.91437390083,0.360815437078,0.416294869495,0.118598835955,0.113705020225,0.460736516686,0.423534862943,0.204796900009,0.45431702259,0.161246630911,0.270508846055,0.439944655533,0.514997207292,0.114079511657,0.678643946373,0.522885893772,0.264080146525,0.273242879319,0.416264603243,0.549619267732,0.319497163254,0.412578781176,0.488511542143,0.64175500557,0.534927427814,0.77349758679,0.463114643281,0.552831690004,0.533713916721,0.347397848158,0.863837173405,0.2823011927,0.347444507697,0.347397848158,0.760912943667,0.345561997604,0.656880855393,0.712245588239,0.347444507697,0.616997335688,0.628406876138,0.285059673298,0.618961473152,0.855010554544,0.448794346616,0.616073295512,0.552931833687,0.712531934357,0.436052723798,0.608335821376,0.492294007053,0.696935042741,0.688125563936,0.695228774863,0.721708798707,0.258845641826,0.695838961696,0.68040137805,0.474257714718
Villanova University -- Michael Mack,0.466314187995,0.578656565089,0.758434404641,0.577408519592,0.830256752062,0.718283640778,0.680317826906,1.0,0.714996657867,0.942679130356,0.754625966524,0.597783179464,0.273385196314,0.768484063977,0.672613711763,0.877748996087,0.42213473355,0.820319657153,0.630360018838,0.757690216266,0.613045869496,0.56830373906,0.886924668324,0.682970442663,0.588875578743,0.791121662355,0.723953154529,0.683849592905,0.361061061568,0.859220446303,0.839805719677,0.428799224058,0.662923241016,0.79385241857,0.737447737334,0.865611693676,0.60460716046,0.950077310839,0.743313629719,0.590994761006,0.673436347772,0.544513448733,0.549937047655,0.736235487308,0.826291455364,0.501876261381,0.386841629723,0.203272047603,0.209281881916,0.30992008955,0.774986422111,0.51727022141,0.777450439134,0.8688126811,0.44422955372,0.656242574737,0.866834173332,0.811958476266,0.819031663942,0.785000704785,0.731661174039,0.72517281313,0.437581342649,0.476203593323,0.28078750166,0.260527380577,0.407702963867,0.346117417847,0.255079164055,0.392409629411,0.226360486395,0.248667189043,0.452308877984,0.509693951323,0.269638627157,0.463399430955,0.478466174748,0.215697935018,0.253300666243,0.45027876614,0.563560418756,0.389509732477,0.833870117236,0.751974133186,0.683052918745,0.609378891333,0.864693682273,0.625539169984,0.712783019343,0.860094047709,0.418759412486,0.784738902915,0.443801075564,0.418888015591,0.418759412486,0.802301209833,0.430759643708,0.899859862959,0.871564473801,0.418888015591,0.799984908588,0.780427200833,0.546879828306,0.927910572107,0.780833865763,0.571018941711,0.92543268022,0.875557711476,0.696116756773,0.510236013461,0.654170174544,0.754569227937,0.934433371172,0.710642496155,0.8955459051,0.845263468072,0.333008547242,0.666235597078,0.722806433002,0.586242615756
Yorkville Advisors -- Craig Engler,0.707311805631,0.357219918656,0.756681892899,0.482807109934,0.450915419732,0.729364202045,0.7352242378,0.714996657867,1.0,0.65690759681,0.702514405752,0.556790496502,0.471272140332,0.704953819035,0.783128286422,0.863089484437,0.365760170746,0.743114420063,0.552426810474,0.898954305361,0.617320654415,0.546639498221,0.740112383362,0.828604027942,0.716512822609,0.856218470351,0.876913045573,0.746738174335,0.640037759168,0.781210648414,0.879725609218,0.392085391792,0.823152460138,0.794320968867,0.752279816249,0.656880087202,0.692193100389,0.659110899617,0.779612168586,0.84347997895,0.834941986922,0.494442626597,0.521567423469,0.453417547503,0.620196261105,0.723425948115,0.580221552512,0.384388745225,0.261699458695,0.445166463932,0.888904229347,0.705055524912,0.783321197685,0.761640791413,0.468907652972,0.853320328109,0.795274874352,0.876059015392,0.688383577946,0.555521851078,0.794678925722,0.841226453552,0.359089561975,0.797957363069,0.171363105619,0.153130296961,0.550241410357,0.635114398449,0.545712341528,0.535640970353,0.27313989493,0.35026428356,0.713477628052,0.642117659729,0.187929090644,0.754560985047,0.732169206607,0.540267677734,0.355638439551,0.642927650516,0.658783103322,0.49763616628,0.552989984088,0.504374182938,0.684883697804,0.617405899985,0.819517497369,0.758968128524,0.828126012009,0.505602733911,0.50247242719,0.767207680806,0.470438019015,0.502746394525,0.50247242719,0.942690579535,0.510409652187,0.882233565306,0.887533311559,0.502746394525,0.729952070205,0.740349396134,0.304091435927,0.612721965174,0.844451634067,0.627328622406,0.655873136211,0.527087878589,0.814361146604,0.560564155605,0.627694108744,0.695905064405,0.780816167386,0.793879530229,0.871648865355,0.862479678743,0.338159162271,0.737367739522,0.789708509171,0.854757333102
Cornerstone Financial -- Thomas Thorndike,0.438071283304,0.535380448483,0.641269479855,0.625529519906,0.793930800675,0.695654095368,0.617262596999,0.942679130356,0.65690759681,1.0,0.733759239512,0.594452396328,0.244783617731,0.736241582147,0.631039358601,0.857852106986,0.465505474116,0.791679079536,0.639928698533,0.703585438387,0.528655334275,0.563449252704,0.901313355659,0.682406343677,0.519189741678,0.796134041002,0.670453453456,0.631718601386,0.329741258767,0.866151349078,0.859035691585,0.486658334698,0.62128565596,0.675343390448,0.68638870864,0.860137600305,0.618791128759,0.974346363453,0.730356414032,0.574225151788,0.641473068782,0.435785214144,0.461159559934,0.65431407099,0.828099259944,0.444686327162,0.255775912799,0.144877013525,0.18827694947,0.227251160934,0.728248408957,0.500878656796,0.761562926657,0.841811557132,0.331474765828,0.614478006393,0.845498951871,0.815320118835,0.800499000249,0.784280821662,0.709807243325,0.632160968474,0.374697819422,0.371479834821,0.197679777612,0.19742908357,0.251928677403,0.237401204362,0.189593190258,0.236671513221,0.17779171236,0.179211795355,0.336310825384,0.410311288938,0.184699360338,0.35729824158,0.440032161975,0.185684528293,0.183356976054,0.353315425351,0.392655768965,0.282549330626,0.814391261771,0.744877873347,0.580551140424,0.525754767302,0.843045229245,0.547178526961,0.705512899079,0.885471446027,0.34863241803,0.784998498409,0.386871372113,0.348650420579,0.34863241803,0.708606150988,0.355509811725,0.855790354877,0.800017383607,0.348650420579,0.728253024683,0.704438140392,0.655182369439,0.958838407587,0.742683403503,0.519892648934,0.972768605497,0.936868225907,0.681243480752,0.425223480233,0.574020986257,0.69409742271,0.887509788637,0.642853331612,0.849614945616,0.834011851365,0.257334856786,0.655973327868,0.633055820833,0.554405398871
